Business_ID,Annual_Revenue,Requested_Loan_Amount,GST_Compliance,Past_Defaults,Bank_Transactions,Market_Trend,Credit_Score,Sanctioned_Loan_Amount,Difference
1000,2950164,573998,95,0,Unstable,Growth,568,573998,0
1001,1775138,171050,99,1,High Volume,Growth,659,171050,0
1002,3328895,274013,93,0,Low Volume,Stable,540,274013,0
1003,6705401,619741,87,0,High Volume,Growth,657,619741,0
1004,1644057,513425,88,0,Stable,Declining,529,328811,184614
1005,1644078,120425,92,0,Stable,Stable,594,120425,0
1006,7013660,1414074,94,0,Stable,Declining,546,1402732,11342
1007,3663567,1424907,84,1,Stable,Stable,501,732713,692194
1008,1361940,248495,94,0,High Volume,Declining,575,248495,0
1009,3060375,1204223,94,0,Unstable,Declining,476,612075,592148
1010,1368555,527523,89,0,Stable,Growth,615,410566,116957
1011,1366026,219414,92,0,High Volume,Stable,626,219414,0
1012,2406225,909481,92,0,High Volume,Declining,596,481245,428236
1013,500000,193250,88,0,High Volume,Stable,623,150000,43250
1014,500000,114427,87,0,Stable,Growth,629,114427,0
1015,1264478,182956,89,0,Low Volume,Stable,528,182956,0
1016,881813,250939,87,0,Unstable,Declining,470,176362,74577
1017,2549475,1184560,92,0,Low Volume,Stable,535,509895,674665
1018,958937,323955,91,0,Stable,Stable,565,191787,132168
1019,640598,81878,92,0,Stable,Growth,608,81878,0
1020,6404549,2287965,89,0,Stable,Stable,581,1280909,1007056
1021,1655112,400937,77,1,Stable,Growth,554,331022,69915
1022,2092819,661724,88,0,Low Volume,Declining,464,418563,243161
1023,634252,241224,79,0,High Volume,Declining,519,126850,114374
1024,1282721,361376,92,0,Stable,Declining,531,256544,104832
1025,2166748,902002,94,0,Unstable,Growth,581,433349,468653
1026,789539,296053,92,0,Stable,Stable,559,157907,138146
1027,2677940,875105,91,0,Stable,Stable,589,535588,339517
1028,1226272,144524,92,0,Low Volume,Stable,533,144524,0
1029,1570092,669137,95,0,Low Volume,Growth,623,471027,198110
1030,1225225,577274,85,0,Stable,Declining,521,245045,332229
1031,8726043,974126,89,2,Stable,Declining,447,974126,0
1032,1961465,529024,97,1,High Volume,Stable,610,529024,0
1033,850714,141644,94,0,High Volume,Stable,637,141644,0
1034,3828700,1491415,93,0,Unstable,Stable,514,765740,725675
1035,746630,279787,93,1,Low Volume,Stable,510,149326,130461
1036,2343347,265732,84,0,Unstable,Stable,503,265732,0
1037,500000,222331,95,0,Low Volume,Declining,497,100000,122331
1038,685190,90060,88,1,Stable,Declining,478,90060,0
1039,2320954,948728,93,1,Low Volume,Declining,452,464190,484538
1040,3579642,915104,89,0,Low Volume,Growth,567,715928,199176
1041,2274099,449641,98,0,High Volume,Stable,640,449641,0
1042,1807547,219089,84,0,Stable,Stable,571,219089,0
1043,1558317,195454,89,0,Stable,Growth,612,195454,0
1044,607546,211335,96,0,High Volume,Growth,688,182263,29072
1045,1114732,331849,91,1,High Volume,Declining,551,222946,108903
1046,1371601,143934,91,0,Stable,Growth,629,143934,0
1047,4619042,465202,95,0,Stable,Growth,621,465202,0
1048,2610088,215436,90,0,High Volume,Declining,577,215436,0
1049,500000,192348,89,0,Low Volume,Growth,597,100000,92348
1050,2569616,951649,89,2,Low Volume,Declining,421,513923,437726
1051,1457064,111165,86,0,High Volume,Growth,670,111165,0
1052,1153674,348550,96,0,Unstable,Growth,586,230734,117816
1053,3234358,284961,96,0,Low Volume,Stable,576,284961,0
1054,4523514,2065824,92,1,Low Volume,Stable,509,904702,1161122
1055,4176667,1913761,88,1,High Volume,Declining,539,835333,1078428
1056,1013202,369013,97,0,Unstable,Growth,577,202640,166373
1057,1548241,722696,93,0,Unstable,Stable,504,309648,413048
1058,2584418,1072931,97,0,Stable,Declining,553,516883,556048
1059,4327221,1829732,90,2,Unstable,Stable,435,865444,964288
1060,1351412,414030,93,0,Stable,Declining,515,270282,143748
1061,1709092,320842,96,0,High Volume,Growth,704,320842,0
1062,818257,121110,98,0,Low Volume,Stable,559,121110,0
1063,761492,150197,85,0,Stable,Stable,536,150197,0
1064,3798135,1264106,99,0,Stable,Growth,649,1139440,124666
1065,5867810,749293,98,0,High Volume,Stable,664,749293,0
1066,1871764,311439,93,0,Stable,Growth,647,311439,0
1067,4425201,1153329,94,0,Stable,Stable,593,885040,268289
1068,2647983,410100,88,0,Low Volume,Declining,499,410100,0
1069,1183402,372641,94,0,Stable,Stable,590,236680,135961
1070,2647474,1232212,86,1,Stable,Stable,505,529494,702718
1071,6786387,2623890,92,1,Stable,Stable,530,1357277,1266613
1072,1926738,674150,93,0,Stable,Stable,572,385347,288803
1073,6932388,2164463,96,0,Stable,Growth,623,2079716,84747
1074,500000,134788,91,0,Stable,Growth,615,134788,0
1075,3826733,512605,86,0,Unstable,Stable,489,512605,0
1076,2125755,962159,99,0,Stable,Stable,603,637726,324433
1077,1560933,252623,94,0,Stable,Growth,645,252623,0
1078,2133786,194364,91,0,Low Volume,Growth,583,194364,0
1079,500000,193753,94,0,Unstable,Stable,529,100000,93753
1080,1663214,214599,97,0,High Volume,Stable,627,214599,0
1081,2638418,573469,93,0,Stable,Growth,643,573469,0
1082,6467597,405701,89,0,Unstable,Growth,571,405701,0
1083,1309798,146279,94,0,Unstable,Declining,471,146279,0
1084,1038414,132856,93,0,High Volume,Growth,669,132856,0
1085,1327216,98857,92,0,Stable,Stable,576,98857,0
1086,4123949,1424806,98,0,High Volume,Stable,625,1237184,187622
1087,2579229,1100437,95,2,Low Volume,Stable,475,515845,584592
1088,1297814,282913,91,0,Low Volume,Declining,499,259562,23351
1089,2989492,1326017,86,0,Stable,Growth,609,896847,429170
1090,2142882,312874,91,2,Stable,Declining,447,312874,0
1091,4303400,845298,96,0,Low Volume,Stable,573,845298,0
1092,1130711,133234,89,0,Low Volume,Stable,547,133234,0
1093,1525557,502292,89,0,High Volume,Stable,612,457667,44625
1094,1448897,346201,95,0,Low Volume,Growth,621,346201,0
1095,614883,200438,97,0,High Volume,Stable,641,184464,15974
1096,2512770,986900,81,0,Stable,Growth,601,753831,233069
